t,x,y,z,qw,qx,qy,qz
90.0272696,33.80635452270508,-16.222957611083984,0.28591403365135193,-0.24618390202522278,0.03725571930408478,0.0018945119809359312,-0.9685049653053284
90.0903091,33.48747634887695,-16.036365509033203,0.24899998307228088,-0.24749208986759186,0.03815170377492905,0.0004960100050084293,-0.9681383371353149
90.1531371,33.172115325927734,-15.850858688354492,0.21413515508174896,-0.24876567721366882,0.039018236100673676,-0.0009171906276606023,-0.9677770733833313
90.2162774,32.86029815673828,-15.666549682617188,0.18131111562252045,-0.2500058114528656,0.03985283896327019,-0.0023391698487102985,-0.9674210548400879
90.2794664,32.55203628540039,-15.483553886413574,0.15052317082881927,-0.251213014125824,0.040686480700969696,-0.003768698312342167,-0.9670690298080444
90.342355,32.24734115600586,-15.301986694335938,0.12176910787820816,-0.2523873746395111,0.041466083377599716,-0.005166330374777317,-0.966723620891571
90.4054854,31.94623565673828,-15.12195873260498,0.09499523043632507,-0.25353020429611206,0.04220539703965187,-0.006533295381814241,-0.9663842916488647
90.4684353,31.64872932434082,-14.943580627441406,0.0702037662267685,-0.2546408772468567,0.042953815311193466,-0.007856552489101887,-0.9660493731498718
90.5314363,31.354833602905273,-14.76695728302002,0.04737788811326027,-0.25571900606155396,0.04367055743932724,-0.00908725243061781,-0.9657215476036072
90.5942554,31.064558029174805,-14.592188835144043,0.026466913521289825,-0.25676479935646057,0.04437509551644325,-0.010214904323220253,-0.9654006361961365
90.6574481,30.777915954589844,-14.419364929199219,0.0074589867144823074,-0.2577779293060303,0.04508962109684944,-0.011216701939702034,-0.9650863409042358
90.7209299,30.494924545288086,-14.248567581176758,-0.009673603810369968,-0.25875765085220337,0.04582507535815239,-0.012072325684130192,-0.9647791981697083
90.7838074,30.215606689453125,-14.079869270324707,-0.024961743503808975,-0.2597038447856903,0.046589311212301254,-0.012765917927026749,-0.964479386806488
90.8474604,29.939987182617188,-13.913334846496582,-0.03843597322702408,-0.2606153190135956,0.04742319881916046,-0.013298599049448967,-0.9641855955123901
90.9104841,29.6680965423584,-13.749013900756836,-0.050136640667915344,-0.26149338483810425,0.04825107753276825,-0.013637534342706203,-0.9639019966125488
90.973591,29.399982452392578,-13.586944580078125,-0.06009514257311821,-0.2623377740383148,0.04912407696247101,-0.01380253117531538,-0.9636260867118835
91.036577,29.13567352294922,-13.427152633666992,-0.06834910064935684,-0.2631494700908661,0.05004309490323067,-0.013804054819047451,-0.9633574485778809
91.099446,28.875232696533203,-13.2696533203125,-0.07494489848613739,-0.26392844319343567,0.05103680118918419,-0.013667254708707333,-0.9630940556526184
91.1626064,28.618717193603516,-13.11445426940918,-0.07991759479045868,-0.2646774351596832,0.052025992423295975,-0.013395528309047222,-0.9628394246101379
91.2256448,28.366186141967773,-12.961552619934082,-0.08331096917390823,-0.26539722084999084,0.05304967239499092,-0.013023600913584232,-0.9625905156135559
91.288624,28.117717742919922,-12.81093978881836,-0.08518972992897034,-0.26608580350875854,0.05419113487005234,-0.012563851661980152,-0.9623429179191589
91.3516436,27.87338638305664,-12.662599563598633,-0.08557809144258499,-0.26674535870552063,0.05525760352611542,-0.011947187595069408,-0.9621074795722961
91.4145008,27.63326644897461,-12.51650619506836,-0.08451996743679047,-0.2673753499984741,0.05637666583061218,-0.0112186623737216,-0.9618764519691467
91.4776812,27.397438049316406,-12.372628211975098,-0.08207046985626221,-0.26798751950263977,0.057484835386276245,-0.010566539131104946,-0.9616478681564331
91.5404825,27.16598892211914,-12.230937004089355,-0.07827521115541458,-0.2685845196247101,0.05856532230973244,-0.010033518075942993,-0.9614217877388
91.6038661,26.938997268676758,-12.091410636901855,-0.0731782540678978,-0.2691669762134552,0.0596151240170002,-0.009618040174245834,-0.9611985087394714
91.66669,26.716537475585938,-11.954038619995117,-0.0668230652809143,-0.26973551511764526,0.06063125655055046,-0.009320776909589767,-0.9609785079956055
91.7297267,26.498674392700195,-11.81881332397461,-0.05925249308347702,-0.27029097080230713,0.061609841883182526,-0.00914730504155159,-0.9607619047164917
91.7928145,26.28548240661621,-11.68574047088623,-0.05053027346730232,-0.2708338797092438,0.06257104128599167,-0.009113630279898643,-0.9605472087860107
91.8556152,26.077016830444336,-11.554834365844727,-0.040684886276721954,-0.27136528491973877,0.06348010897636414,-0.009211892262101173,-0.9603365063667297
91.9188351,25.873329162597656,-11.426115036010742,-0.029727835208177567,-0.2718871235847473,0.06431112438440323,-0.00944328773766756,-0.9601314067840576
91.9817759,25.674470901489258,-11.299612045288086,-0.01773243397474289,-0.27240073680877686,0.06512892991304398,-0.009850818663835526,-0.9599266052246094
92.045237,25.48048210144043,-11.175369262695312,-0.004731431603431702,-0.27290475368499756,0.06585034728050232,-0.01036255806684494,-0.9597288370132446
92.10836,25.291393280029297,-11.053434371948242,0.009243610315024853,-0.2734016478061676,0.06653029471635818,-0.011029674671590328,-0.9595330357551575
92.1706257,25.10723876953125,-10.93387222290039,0.024106187745928764,-0.2738909125328064,0.06718744337558746,-0.011845193803310394,-0.9593380093574524
92.2335952,24.928037643432617,-10.81674861907959,0.039854876697063446,-0.27437230944633484,0.06777409464120865,-0.012773746624588966,-0.9591472744941711
92.2966233,24.753812789916992,-10.70214557647705,0.05640549212694168,-0.2748468816280365,0.06835939735174179,-0.013853980228304863,-0.9589548110961914
92.3597383,24.584566116333008,-10.590150833129883,0.07370256632566452,-0.2753113806247711,0.06885722279548645,-0.014979778788983822,-0.9587690234184265
92.4227081,24.42031478881836,-10.48085880279541,0.09173091500997543,-0.27576741576194763,0.06933373212814331,-0.01620105467736721,-0.9585837125778198
92.485697,24.261045455932617,-10.374363899230957,0.11045552045106888,-0.27621373534202576,0.0697554498910904,-0.017465529963374138,-0.9584023356437683
92.5488272,24.10677146911621,-10.270766258239746,0.1298074722290039,-0.27664944529533386,0.07014866173267365,-0.018762288615107536,-0.9582234621047974
